,orighiredate_key,age,length_of_service,gender_full,STATUS_YEAR,STATUS,BUSINESS_UNIT,is_corporate,is_service,city_emp_pop
2388,547.0,64,24,0,2015,1,0,0,1,1392
2398,548.0,64,24,1,2015,1,0,0,1,267
2408,551.0,64,24,1,2015,1,0,0,1,219
2418,552.0,64,24,0,2015,1,0,0,1,1392
2428,552.0,64,24,0,2015,1,0,0,1,624
2438,555.0,64,24,0,2015,1,0,0,1,101
2448,557.0,64,24,1,2015,1,0,0,1,101
2458,558.0,64,24,0,2015,1,0,0,1,1392
2468,558.0,64,24,0,2015,1,0,0,1,197
2478,559.0,64,24,0,2015,1,0,0,1,258
2488,559.0,64,24,1,2015,1,0,0,1,403
2498,563.0,64,24,1,2015,1,0,0,1,624
2508,565.0,64,24,1,2015,1,0,0,1,219
2518,565.0,64,24,1,2015,1,0,0,1,84
2528,566.0,64,24,0,2015,1,0,0,1,481
2547,569.0,64,24,0,2015,1,0,0,1,219
2557,571.0,64,24,1,2015,1,0,0,1,197
2567,573.0,64,24,1,2015,1,0,0,1,219
2577,574.0,64,24,0,2015,1,0,0,1,624
2587,574.0,64,24,0,2015,1,0,0,1,101
2597,576.0,64,24,0,2015,1,0,0,1,219
2607,577.0,64,24,0,2015,1,0,0,1,176
2617,578.0,63,24,0,2015,1,0,0,1,267
2627,581.0,63,24,1,2015,1,0,0,1,1392
2637,584.0,63,24,1,2015,1,0,0,1,147
2647,588.0,63,24,1,2015,1,0,0,1,403
2657,591.0,63,24,1,2015,1,0,0,1,305
2667,592.0,63,24,1,2015,1,0,0,1,1392
2677,592.0,63,24,1,2015,1,0,0,1,160
2687,592.0,63,24,0,2015,1,0,0,1,403
2697,594.0,63,24,1,2015,1,0,0,1,197
2707,594.0,63,24,1,2015,1,0,0,1,403
2717,595.0,63,24,1,2015,1,0,0,1,109
2727,597.0,63,24,0,2015,1,0,0,1,160
2743,600.0,63,24,1,2015,1,0,0,1,264
2753,607.0,63,24,0,2015,1,0,0,1,264
2772,609.0,63,24,1,2015,1,0,0,1,258
2782,609.0,63,24,1,2015,1,0,0,1,1392
2792,612.0,63,24,0,2015,1,0,0,1,90
2802,614.0,63,24,1,2015,1,0,0,1,72
2812,615.0,63,24,1,2015,1,0,0,1,305
2822,616.0,63,24,1,2015,1,0,0,1,264
2832,617.0,63,24,1,2015,1,0,0,1,1392
2842,618.0,63,24,1,2015,1,0,0,1,121
2852,619.0,63,24,1,2015,1,0,0,1,1392
2862,620.0,63,24,0,2015,1,0,0,1,197
2872,620.0,63,24,0,2015,1,0,0,1,89
2882,621.0,63,24,0,2015,1,0,0,1,1392
2892,622.0,63,24,1,2015,1,0,0,1,67
2902,623.0,63,24,0,2015,1,0,0,1,90
2912,626.0,63,24,1,2015,1,0,0,1,1392
2922,626.0,63,24,1,2015,1,0,0,1,197
2932,632.0,63,24,0,2015,1,0,0,1,403
2950,636.0,63,24,1,2015,1,0,0,1,1392
2960,639.0,63,24,1,2015,1,0,0,1,121
2970,639.0,63,24,0,2015,1,0,0,1,65
2980,640.0,63,24,0,2015,1,0,0,1,118
2990,641.0,63,24,1,2015,1,0,0,1,1392
3000,642.0,63,24,1,2015,1,0,0,1,18
3010,643.0,63,24,0,2015,1,0,0,1,1392
3020,645.0,63,24,0,2015,1,0,0,1,403
3030,646.0,63,24,0,2015,1,0,0,1,1392
3040,646.0,63,24,1,2015,1,0,0,1,109
3050,648.0,63,24,0,2015,1,0,0,1,1392
3060,653.0,63,24,1,2015,1,0,0,1,481
3070,653.0,63,24,1,2015,1,0,0,1,1392
3080,657.0,63,24,1,2015,1,0,0,1,84
3098,660.0,63,24,0,2015,1,0,0,1,624
3108,662.0,63,24,1,2015,1,0,0,1,197
3118,664.0,63,24,0,2015,1,0,0,1,1392
3128,673.0,63,24,0,2015,1,0,0,1,267
3138,677.0,63,24,1,2015,1,0,0,1,197
3148,679.0,63,24,1,2015,1,0,0,1,264
3158,679.0,63,24,0,2015,1,0,0,1,624
3168,680.0,63,24,0,2015,1,0,0,1,624
3178,685.0,63,24,1,2015,1,0,0,1,481
3188,687.0,63,24,1,2015,1,0,0,1,305
3198,687.0,63,24,0,2015,1,0,0,1,1392
3208,690.0,63,24,0,2015,1,0,0,1,147
3218,690.0,63,24,0,2015,1,0,0,1,403
3228,691.0,63,24,0,2015,1,0,0,1,81
3238,695.0,63,24,1,2015,1,0,0,1,197
3248,695.0,63,24,1,2015,1,0,0,1,481
3258,695.0,63,24,1,2015,1,0,0,1,1392
3268,695.0,63,24,0,2015,1,0,0,1,1392
3278,698.0,63,24,1,2015,1,0,0,1,118
3288,698.0,63,24,0,2015,1,0,0,1,305
3298,699.0,63,24,1,2015,1,0,0,1,90
3308,699.0,63,24,0,2015,1,0,0,1,101
3318,700.0,63,24,1,2015,1,0,0,1,1392
3328,705.0,63,24,1,2015,1,0,0,1,624
3338,705.0,63,24,0,2015,1,0,0,1,147
3348,705.0,63,24,1,2015,1,0,0,1,1392
3358,706.0,63,24,0,2015,1,0,0,1,305
3368,710.0,63,24,0,2015,1,0,0,1,1392
3378,711.0,63,24,0,2015,1,0,0,1,118
3388,711.0,63,24,0,2015,1,0,0,1,1392
3398,714.0,63,24,0,2015,1,0,0,1,258
3408,714.0,63,24,0,2015,1,0,0,1,1392
3429,725.0,63,24,0,2015,1,0,0,1,118
3439,729.0,63,24,1,2015,1,0,0,1,94
3449,730.0,63,24,1,2015,1,0,0,1,481
3459,734.0,63,24,1,2015,1,0,0,1,258
3469,735.0,63,24,0,2015,1,0,0,1,481
3479,737.0,63,24,1,2015,1,0,0,1,624
3489,740.0,63,24,0,2015,1,0,0,1,267
3499,741.0,63,24,1,2015,1,0,0,1,109
3509,743.0,63,24,0,2015,1,0,0,1,90
3519,744.0,63,24,1,2015,1,0,0,1,481
3529,749.0,63,24,1,2015,1,0,0,1,267
3539,749.0,63,24,1,2015,1,0,0,1,258
3549,754.0,63,24,0,2015,1,0,0,1,1392
3559,764.0,63,24,1,2015,1,0,0,1,160
3569,768.0,63,24,0,2015,1,0,0,1,101
3579,770.0,63,24,0,2015,1,0,0,1,258
3589,775.0,62,24,1,2015,1,0,0,1,624
3599,775.0,62,24,0,2015,1,0,0,1,89
3617,777.0,62,24,0,2015,1,0,0,1,1392
3627,780.0,62,24,0,2015,1,0,0,1,197
3637,781.0,62,24,1,2015,1,0,0,1,1392
3647,781.0,62,24,0,2015,1,0,0,1,1392
3657,783.0,62,24,1,2015,1,0,0,1,94
3667,787.0,62,24,0,2015,1,0,0,1,147
3677,791.0,62,24,0,2015,1,0,0,1,121
3687,793.0,62,24,0,2015,1,0,0,1,267
3697,794.0,62,24,1,2015,1,0,0,1,1392
3707,794.0,62,24,0,2015,1,0,0,1,1392
3717,795.0,62,24,0,2015,1,0,0,1,403
3727,796.0,62,24,1,2015,1,0,0,1,624
3737,798.0,62,24,1,2015,1,0,0,1,481
3747,801.0,62,24,0,2015,1,0,0,1,305
3757,801.0,62,24,0,2015,1,0,0,1,1392
3767,805.0,62,24,0,2015,1,0,0,1,1392
3777,805.0,62,24,1,2015,1,0,0,1,264
3787,806.0,62,24,1,2015,1,0,0,1,258
3797,807.0,62,24,0,2015,1,0,0,1,258
3807,809.0,62,24,1,2015,1,0,0,1,1392
3817,810.0,62,24,1,2015,1,0,0,1,118
3827,811.0,62,24,1,2015,1,0,0,1,1392
3837,812.0,62,24,1,2015,1,0,0,1,121
3847,813.0,62,24,1,2015,1,0,0,1,624
3857,815.0,62,24,0,2015,1,0,0,1,305
3867,817.0,62,24,1,2015,1,0,0,1,624
3877,818.0,62,24,0,2015,1,0,0,1,109
3887,819.0,62,24,1,2015,1,0,0,1,101
3897,819.0,62,24,0,2015,1,0,0,1,147
3907,820.0,62,24,0,2015,1,0,0,1,481
3917,822.0,62,24,0,2015,1,0,0,1,94
3927,824.0,62,24,1,2015,1,0,0,1,403
3937,829.0,62,24,0,2015,1,0,0,1,67
3947,831.0,62,24,1,2015,1,0,0,1,403
3957,832.0,62,24,1,2015,1,0,0,1,1392
3967,833.0,62,24,1,2015,1,0,0,1,1392
3977,837.0,62,24,1,2015,1,0,0,1,219
3987,840.0,62,24,0,2015,1,0,0,1,121
4006,843.0,62,24,1,2015,1,0,0,1,1392
4016,847.0,62,24,1,2015,1,0,0,1,1392
4026,849.0,62,24,0,2015,1,0,0,1,1392
4036,849.0,62,24,0,2015,1,0,0,1,1392
4046,851.0,62,24,1,2015,1,0,0,1,84
4056,852.0,62,24,1,2015,1,0,0,1,481
4066,852.0,62,24,1,2015,1,0,0,1,81
4076,854.0,62,24,0,2015,1,0,0,1,1392
4086,856.0,62,23,1,2015,1,0,0,1,101
4096,857.0,62,23,0,2015,1,0,0,1,72
4106,857.0,62,23,1,2015,1,0,0,1,267
4116,859.0,62,23,1,2015,1,0,0,1,305
4126,860.0,62,23,0,2015,1,0,0,1,39
4136,861.0,62,23,0,2015,1,0,0,1,1392
4146,862.0,62,23,1,2015,1,0,0,1,403
4156,864.0,62,23,0,2015,1,0,0,1,258
4166,864.0,62,23,0,2015,1,0,0,1,72
4181,868.0,62,23,0,2015,1,0,0,1,258
4191,868.0,62,23,1,2015,1,0,0,1,403
4201,869.0,62,23,1,2015,1,0,0,1,481
4211,871.0,62,23,0,2015,1,0,0,1,1392
4221,878.0,62,23,0,2015,1,0,0,1,109
4231,879.0,62,23,0,2015,1,0,0,1,481
4241,883.0,62,23,0,2015,1,0,0,1,258
4251,886.0,62,23,0,2015,1,0,0,1,1392
4261,887.0,62,23,0,2015,1,0,0,1,624
4271,887.0,62,23,1,2015,1,0,0,1,258
4281,889.0,62,23,0,2015,1,0,0,1,1392
4291,889.0,62,23,0,2015,1,0,0,1,481
4301,890.0,62,23,1,2015,1,0,0,1,197
4311,891.0,62,23,1,2015,1,0,0,1,264
4321,892.0,62,23,0,2015,1,0,0,1,305
4331,897.0,62,23,1,2015,1,0,0,1,403
4341,901.0,62,23,0,2015,1,0,0,1,72
4351,903.0,62,23,0,2015,1,0,0,1,176
4365,908.0,62,23,0,2015,1,0,0,1,160
4375,908.0,62,23,0,2015,1,0,0,1,403
4385,912.0,62,23,1,2015,1,0,0,1,481
4395,912.0,62,23,0,2015,1,0,0,1,1392
4405,913.0,62,23,1,2015,1,0,0,1,84
4415,913.0,62,23,0,2015,1,0,0,1,258
4425,918.0,62,23,0,2015,1,0,0,1,258
4435,918.0,62,23,1,2015,1,0,0,1,264
4445,918.0,62,23,1,2015,1,0,0,1,118
4455,919.0,62,23,0,2015,1,0,0,1,264
4465,920.0,62,23,0,2015,1,0,0,1,481
4475,921.0,62,23,1,2015,1,0,0,1,624
4485,923.0,62,23,0,2015,1,0,0,1,176
4495,925.0,62,23,1,2015,1,0,0,1,624
4505,926.0,62,23,1,2015,1,0,0,1,109
4515,926.0,62,23,0,2015,1,0,0,1,121
4525,928.0,62,23,0,2015,1,0,0,1,1392
4535,930.0,62,23,1,2015,1,0,0,1,147
4545,931.0,62,23,1,2015,1,0,0,1,147
4555,935.0,62,23,1,2015,1,0,0,1,147
4565,937.0,62,23,1,2015,1,0,0,1,481
4575,938.0,62,23,1,2015,1,0,0,1,1392
4585,938.0,62,23,1,2015,1,0,0,1,1392
4595,939.0,62,23,1,2015,1,0,0,1,1392
4605,939.0,62,23,0,2015,1,0,0,1,305
4615,939.0,62,23,1,2015,1,0,0,1,1392
4625,943.0,62,23,0,2015,1,0,0,1,305
4635,943.0,62,23,1,2015,1,0,0,1,624
4645,944.0,62,23,1,2015,1,0,0,1,1392
4655,944.0,62,23,1,2015,1,0,0,1,264
4665,948.0,62,23,1,2015,1,0,0,1,1392
4675,950.0,62,23,1,2015,1,0,0,1,624
4685,952.0,62,23,1,2015,1,0,0,1,1392
4695,952.0,62,23,1,2015,1,0,0,1,109
4705,954.0,62,23,1,2015,1,0,0,1,1392
4715,955.0,62,23,0,2015,1,0,0,1,1392
4725,955.0,62,23,1,2015,1,0,0,1,624
4735,961.0,62,23,0,2015,1,0,0,1,403
4745,963.0,62,23,0,2015,1,0,0,1,1392
4755,969.0,61,23,0,2015,1,0,0,1,1392
4765,970.0,61,23,0,2015,1,0,0,1,624
4775,970.0,61,23,0,2015,1,0,0,1,1392
4785,976.0,61,23,1,2015,1,0,0,1,147
4795,978.0,61,23,1,2015,1,0,0,1,1392
4805,979.0,61,23,0,2015,1,0,0,1,624
4815,980.0,61,23,0,2015,1,0,0,1,176
4825,981.0,61,23,0,2015,1,0,0,1,147
4835,982.0,61,23,1,2015,1,0,0,1,481
4845,983.0,61,23,1,2015,1,0,0,1,147
4855,985.0,61,23,0,2015,1,0,0,1,147
4865,985.0,61,23,1,2015,1,0,0,1,481
4875,990.0,61,23,0,2015,1,0,0,1,176
4885,992.0,61,23,0,2015,1,0,0,1,1392
4895,995.0,61,23,1,2015,1,0,0,1,39
4905,995.0,61,23,0,2015,1,0,0,1,481
4915,997.0,61,23,1,2015,1,0,0,1,1392
4925,997.0,61,23,0,2015,1,0,0,1,624
4935,998.0,61,23,1,2015,1,0,0,1,1392
4945,998.0,61,23,0,2015,1,0,0,1,219
4955,999.0,61,23,1,2015,1,0,0,1,481
4965,999.0,61,23,0,2015,1,0,0,1,84
4975,1000.0,61,23,1,2015,1,0,0,1,176
4985,1003.0,61,23,1,2015,1,0,0,1,1392
4995,1006.0,61,23,1,2015,1,0,0,1,258
5005,1006.0,61,23,1,2015,1,0,0,1,481
5015,1007.0,61,23,1,2015,1,0,0,1,264
5025,1009.0,61,23,0,2015,1,0,0,1,624
5035,1012.0,61,23,1,2015,1,0,0,1,624
5045,1012.0,61,23,1,2015,1,0,0,1,481
5055,1017.0,61,23,1,2015,1,0,0,1,67
5065,1021.0,61,23,1,2015,1,0,0,1,624
5075,1021.0,61,23,1,2015,1,0,0,1,197
5085,1022.0,61,23,1,2015,1,0,0,1,1392
5095,1022.0,61,23,1,2015,1,0,0,1,258
5105,1026.0,61,23,1,2015,1,0,0,1,624
5115,1027.0,61,23,1,2015,1,0,0,1,1392
5125,1028.0,61,23,0,2015,1,0,0,1,109
5135,1031.0,61,23,0,2015,1,0,0,1,403
5145,1032.0,61,23,1,2015,1,0,0,1,481
5155,1032.0,61,23,1,2015,1,0,0,1,481
5165,1037.0,61,23,1,2015,1,0,0,1,403
5175,1042.0,61,23,1,2015,1,0,0,1,160
5185,1044.0,61,23,1,2015,1,0,0,1,1392
5195,1045.0,61,23,0,2015,1,0,0,1,1392
5205,1047.0,61,23,1,2015,1,0,0,1,624
5215,1049.0,61,23,1,2015,1,0,0,1,264
5225,1049.0,61,23,1,2015,1,0,0,1,67
5235,1049.0,61,23,1,2015,1,0,0,1,258
5245,1050.0,61,23,0,2015,1,0,0,1,624
5255,1055.0,61,23,1,2015,1,0,0,1,39
5265,1059.0,61,23,0,2015,1,0,0,1,1392
5275,1066.0,61,23,0,2015,1,0,0,1,1392
5285,1068.0,61,23,0,2015,1,0,0,1,176
5297,1070.0,61,23,0,2015,1,0,0,1,160
5307,1071.0,61,23,1,2015,1,0,0,1,481
5317,1072.0,61,23,1,2015,1,0,0,1,403
5327,1072.0,61,23,1,2015,1,0,0,1,624
5337,1074.0,61,23,1,2015,1,0,0,1,72
5347,1074.0,61,23,0,2015,1,0,0,1,1392
5357,1075.0,61,23,1,2015,1,0,0,1,65
5367,1076.0,61,23,0,2015,1,0,0,1,403
5377,1077.0,61,23,0,2015,1,0,0,1,267
5387,1077.0,61,23,1,2015,1,0,0,1,1392
5397,1077.0,61,23,0,2015,1,0,0,1,109
5407,1077.0,61,23,0,2015,1,0,0,1,403
5426,1078.0,61,23,0,2015,1,0,0,1,219
5436,1083.0,61,23,1,2015,1,0,0,1,219
5446,1083.0,61,23,0,2015,1,0,0,1,1392
5456,1086.0,61,23,1,2015,1,0,0,1,403
5466,1092.0,61,23,0,2015,1,0,0,1,481
5476,1092.0,61,23,1,2015,1,0,0,1,81
5486,1093.0,61,23,0,2015,1,0,0,1,197
5496,1100.0,61,23,1,2015,1,0,0,1,305
5506,1103.0,61,23,0,2015,1,0,0,1,264
5516,1106.0,61,23,0,2015,1,0,0,1,481
5526,1106.0,61,23,1,2015,1,0,0,1,305
5536,1110.0,61,23,0,2015,1,0,0,1,1392
5546,1113.0,61,23,1,2015,1,0,0,1,197
5556,1118.0,61,23,1,2015,1,0,0,1,258
5566,1118.0,61,23,1,2015,1,0,0,1,624
5576,1123.0,61,23,1,2015,1,0,0,1,481
5586,1124.0,61,23,1,2015,1,0,0,1,624
5596,1126.0,61,23,0,2015,1,0,0,1,624
5606,1129.0,61,23,1,2015,1,0,0,1,624
5616,1129.0,61,23,0,2015,1,0,0,1,403
5626,1130.0,61,23,0,2015,1,0,0,1,624
5636,1131.0,61,23,0,2015,1,0,0,1,197
5646,1133.0,61,23,0,2015,1,0,0,1,258
5656,1133.0,61,23,1,2015,1,0,0,1,121
5666,1135.0,61,23,1,2015,1,0,0,1,1392
5676,1137.0,61,23,1,2015,1,0,0,1,1392
5686,1137.0,61,23,1,2015,1,0,0,1,305
5696,1138.0,61,23,1,2015,1,0,0,1,67
5706,1140.0,61,23,0,2015,1,0,0,1,1392
5716,1143.0,61,23,1,2015,1,0,0,1,219
5726,1143.0,61,23,1,2015,1,0,0,1,1392
5736,1145.0,61,23,0,2015,1,0,0,1,147
5746,1148.0,61,23,1,2015,1,0,0,1,65
5756,1150.0,61,23,1,2015,1,0,0,1,101
5766,1150.0,61,23,1,2015,1,0,0,1,121
5776,1151.0,61,23,0,2015,1,0,0,1,81
5795,1153.0,61,23,1,2015,1,0,0,1,403
5805,1153.0,61,23,1,2015,1,0,0,1,1392
5815,1154.0,61,23,1,2015,1,0,0,1,305
5825,1154.0,61,23,1,2015,1,0,0,1,624
5835,1155.0,61,23,1,2015,1,0,0,1,481
5845,1156.0,61,23,1,2015,1,0,0,1,118
5855,1157.0,60,23,1,2015,1,0,0,1,624
5865,1158.0,60,23,1,2015,1,0,0,1,176
5875,1158.0,60,23,1,2015,1,0,0,1,403
5885,1160.0,60,23,0,2015,1,0,0,1,481
5895,1163.0,60,23,0,2015,1,0,0,1,624
5905,1163.0,60,23,0,2015,1,0,0,1,1392
5915,1166.0,60,23,0,2015,1,0,0,1,267
5925,1168.0,60,23,0,2015,1,0,0,1,481
5935,1169.0,60,23,0,2015,1,0,0,1,1392
5945,1170.0,60,23,1,2015,1,0,0,1,1392
5955,1170.0,60,23,1,2015,1,0,0,1,258
5965,1171.0,60,23,0,2015,1,0,0,1,1392
5976,1176.0,60,23,0,2015,1,0,0,1,176
5986,1177.0,60,23,0,2015,1,0,0,1,90
5996,1178.0,60,23,0,2015,1,0,0,1,624
6006,1180.0,60,23,1,2015,1,0,0,1,481
6016,1180.0,60,23,0,2015,1,0,0,1,258
6026,1181.0,60,23,1,2015,1,0,0,1,1392
6036,1182.0,60,23,0,2015,1,0,0,1,305
6046,1185.0,60,23,1,2015,1,0,0,1,1392
6056,1185.0,60,23,1,2015,1,0,0,1,1392
6066,1187.0,60,23,0,2015,1,0,0,1,403
6076,1187.0,60,23,0,2015,1,0,0,1,147
6086,1190.0,60,23,0,2015,1,0,0,1,219
6096,1190.0,60,23,0,2015,1,0,0,1,219
6106,1191.0,60,23,1,2015,1,0,0,1,67
6116,1191.0,60,23,0,2015,1,0,0,1,197
6126,1194.0,60,23,0,2015,1,0,0,1,84
6136,1198.0,60,23,1,2015,1,0,0,1,305
6154,1200.0,60,23,0,2015,1,0,0,1,264
6164,1200.0,60,23,0,2015,1,0,0,1,176
6174,1206.0,60,23,1,2015,1,0,0,1,1392
6184,1207.0,60,23,0,2015,1,0,0,1,147
6194,1209.0,60,23,1,2015,1,0,0,1,176
6204,1209.0,60,23,0,2015,1,0,0,1,219
6214,1211.0,60,23,0,2015,1,0,0,1,258
6224,1214.0,60,23,0,2015,1,0,0,1,94
6234,1214.0,60,23,1,2015,1,0,0,1,81
6244,1218.0,60,23,0,2015,1,0,0,1,258
6254,1218.0,60,23,0,2015,1,0,0,1,118
6264,1221.0,60,23,0,2015,1,0,0,1,197
6274,1222.0,60,22,0,2015,1,0,0,1,84
6284,1225.0,60,22,1,2015,1,0,0,1,1392
6294,1226.0,60,22,1,2015,1,0,0,1,176
6304,1228.0,60,22,0,2015,1,0,0,1,624
6314,1229.0,60,22,0,2015,1,0,0,1,1392
6324,1231.0,60,22,0,2015,1,0,0,1,1392
6342,1232.0,60,22,1,2015,1,0,0,1,1392
6352,1235.0,60,22,1,2015,1,0,0,1,624
6362,1237.0,60,22,0,2015,1,0,0,1,1392
6372,1239.0,60,22,0,2015,1,0,0,1,1392
6382,1240.0,60,22,0,2015,1,0,0,1,81
6392,1241.0,60,22,1,2015,1,0,0,1,624
6402,1244.0,60,22,0,2015,1,0,0,1,258
6412,1247.0,60,22,1,2015,1,0,0,1,624
6422,1250.0,60,22,0,2015,1,0,0,1,258
6432,1250.0,60,22,1,2015,1,0,0,1,267
6442,1254.0,60,22,1,2015,1,0,0,1,305
6452,1255.0,60,22,0,2015,1,0,0,1,147
6462,1263.0,60,22,0,2015,1,0,0,1,481
6472,1274.0,60,22,1,2015,1,0,0,1,72
6482,1275.0,60,22,1,2015,1,0,0,1,147
6492,1282.0,60,22,0,2015,1,0,0,1,305
6502,1282.0,60,22,1,2015,1,0,0,1,264
6512,1283.0,60,22,1,2015,1,0,0,1,197
6522,1285.0,60,22,0,2015,1,0,0,1,1392
6532,1286.0,60,22,0,2015,1,0,0,1,258
6542,1289.0,60,22,0,2015,1,0,0,1,1392
6552,1293.0,60,22,0,2015,1,0,0,1,67
6562,1297.0,60,22,0,2015,1,0,0,1,624
6572,1298.0,60,22,1,2015,1,0,0,1,624
6582,1302.0,60,22,1,2015,1,0,0,1,101
6592,1304.0,60,22,0,2015,1,0,0,1,624
6611,1307.0,60,22,0,2015,1,0,0,1,624
6621,1307.0,60,22,1,2015,1,0,0,1,176
6631,1308.0,60,22,1,2015,1,0,0,1,81
6641,1310.0,60,22,1,2015,1,0,0,1,72
6651,1310.0,60,22,0,2015,1,0,0,1,39
6661,1311.0,60,22,1,2015,1,0,0,1,1392
6671,1311.0,60,22,0,2015,1,0,0,1,219
6681,1313.0,60,22,1,2015,1,0,0,1,264
6691,1313.0,60,22,0,2015,1,0,0,1,481
6701,1313.0,60,22,0,2015,1,0,0,1,1392
6711,1314.0,60,22,0,2015,1,0,0,1,267
6721,1318.0,60,22,1,2015,1,0,0,1,403
6731,1319.0,60,22,1,2015,1,0,0,1,94
6741,1320.0,60,22,0,2015,1,0,0,1,258
6751,1321.0,60,22,1,2015,1,0,0,1,89
6766,1322.0,60,22,0,2015,1,0,0,1,118
6776,1323.0,60,22,1,2015,1,0,0,1,118
6786,1329.0,60,22,0,2015,1,0,0,1,481
6796,1329.0,60,22,1,2015,1,0,0,1,219
6806,1332.0,60,22,1,2015,1,0,0,1,624
6824,1336.0,60,22,1,2015,1,0,0,1,264
6834,1336.0,60,22,0,2015,1,0,0,1,1392
6844,1338.0,60,22,1,2015,1,0,0,1,176
6854,1338.0,60,22,1,2015,1,0,0,1,147
6864,1341.0,60,22,1,2015,1,0,0,1,101
6874,1342.0,60,22,0,2015,1,0,0,1,1392
